,Username,Time,Date,Replies,Post
10,EzeChudy,7:25pm,Jul 09,31,"['The Nigeria Army has said that Lt Gen Lamidi Adeosun remains the chief of Training and Operations at the Army Headquarters despite his accelerated promotion by President Muhammadu Buhari.', None, None, 'Its spokesman, Col Sagir Musa, said in a statement that insinuations or suggestions of his appointment as new chief of Army Staff is fake.', None, None, 'Col.Musa said: “Contrary to fake news going round insinuating or suggesting appointment of Lieutenant General LO Adeosun as Chief of Army Staff of the Nigerian Army, members of the public are hereby once again informed that Lieutenant General LO Adeosun has just been given special/accelerated promotion from Major General to Lieutenant General and formally communicated to him by the Chief of Army Staff Lt Gen TY Buratai.', None, None, '“Lt Gen LO Adeosun is only granted special promotion by the President, Commander -in – Chief, of the Armed Forces of the Federal Republic of Nigeria, President Muhammadu Buhari for his extraordinary feats, exemplary leadership, loyalty and uncommon commitment in the counter insurgency operation in the North Eastern part of Nigeria.', None, None, 'source : ', 'https://thenationonlineng.net/gen-adeosun-is-not-chief-of-army-staff-says-army/']"
11,hardtoget,8:28pm,Jul 09,30,"['Former Super Eagles captain, Jay Jay Okocha, has said the team with the right mindset will emerge victorious, when Nigeria take on South Africa in the quarter-final of the Africa Cup of Nations on Wednesday.', None, None, 'Nigeria are yet to defeat South Africa in their last five outings, which ended in four draws and one defeat against Bafana Bafana.', None, None, 'Okocha is however not bothered by the recent head-to-head results and thinks the game will be decided by the players’ performances on match day.', None, None, '“I think it’s always easier to sit on the outside and act as if you have the best solution. But I’ve played the game at the highest level and I can tell you my opinion.', None, None, '“You can come up with whatever tactics you want as a coach but if you don’t have the tools to execute you will struggle, and if you don’t have willing players that are ready to commit to the cause than you will struggle.', None, None, '“I think it’s all about the players’ mindset on the day and the team that wants it more,” Okocha told Goal.', None, None, None, None, None, 'Read more here ', 'https://thickmatch.com/nigeria-vs-south-africa-jay-jay-okocha-speaks-afcon-quarter-final-clash/']"
12,OndoFirstBorn,7:39pm,Jul 09,29,"[None, 'Asiwaju Bola Tinubu, former Lagos state governor and national leader of the All Progressives Congress (APC), on Tuesday, visited Ondo state to reconcile aggrieved members of the party.', None, None, 'Tinubu was accompanied by the former interim national chairman of the APC, Chief Bisi Akande; former governor of Ogun state, Segun Osoba and former governor of Ekiti state, Niyi Adebayo.', None, None, 'The APC national leader, who arrived at the Akure Airport at exactly 1:48 pm, was received by Governors Rotimi Akeredolu and  Kayode Fayemi of Ondo and Ekiti states respectively.', None, None, 'Other APC notable leaders who received Tinubu at the Airport were Isaac Kekemeke, Olusola Oke, Ali Olanusi among others.', None, None, 'It was learnt that Tinubu’s visit to the state was in connection with the 2023 presidential race.', None, None, 'At a pre-conference meeting he held with Akeredolu, Feyemi and some party leaders, Tinubu was said to have told those present at the meeting to sheathe their swords and let peace reign in the state chapter.', None, None, 'He reportedly pleaded with all aggrieved leaders of the party to support Akeredolu for another term in office.', None, None, 'However, some Tinubu’s loyalists who are not in good terms with Akeredolu protested the modalities used to select those who attended the meeting.', None, None, 'Among those prevented from attending the meeting were former Osun State Commissioner for Regional Integration, Bola Ilori; former member of the House of Representatives, Afe Olowookere, and the immediate past Commissioner for Physical Planning and Urban Development in Ondo state, Solagbade Amodeni.', None, None, 'A source at the meeting said Tinubu’s visit was part of the preparations for the 2023.', None, None, '“The whole thing is about the 2023 presidency. We have all seen that with the way things are going, the southwest can only survive the struggle if we put our house in order ahead of that crucial election.', None, None, '“Within our party, it is almost becoming a North-versus-South battle. And with the seeming intention of our leader to have a shot at the presidency, we can only survive if we all swallow our pride and give concessions where necessary.', None, None, '“So, the meeting analysed the whole scenarios around the 2023 politics and concluded that we must be one to be able to confront other contenders from outside. For one, unless we get the ticket of our party, the people of the southwest will stone us. They will say we sold out.', None, None, '“If on the other hand we go into the battle divided, we will end up not achieving anything. So, in looking at the Ondo scenario, various question are begging for answers. Who is running first? The governor, of course. It sounds bitter but that is the truth and we understand the feelings of all those who the tide does not support.', None, None, '“Therefore, it will be better for us to forgive ourselves and still have our party in place than forcing a sitting governor out for him to do damage to the party at the governorship poll because he has nothing to lose then. The implication will be that the opposition PDP will carry the day, God forbid,” he said.', None, None, None, 'https://www.independent.ng/tinubu-reconciles-apc-in-ondo-solicits-support-for-akeredolus-second-term/?utm_source=&utm_medium=twitter']"
13,Made4naijaceo,7:12pm,Jul 09,29,"['Drama never cease to end in the ongoing big BBNaija season 4, as another fight erupts between Thelma and Esther, over calling people with Down syndrome ‘imbeciles’.', None, None, 'It all started when the two housemates were discussing about people plagued with “Down Syndrome”. During the course of there discussion, Thelma stated that those affected by “Down Syndrome” are imbeciles.', None, None, 'Her statement provoked Esther who tried to correct her but Thelma seemed obstinate to the correction. Esther’s continuous stubbornness led to a heated argument that nearly developed to a fight if not for the timely intervention of other housemates.', None, None, 'Watch video ', None, None, 'source : ', None, None, 'https://www.made4naija.com/bbnaija-thelma-and-esther-fight-over-calling-people-with-down-syndrome-imbeciles/']"
14,GistMore9,12:44pm,Jul 09,30,"['22-years-old Nigerian dwarf model, Fatima Timbo graduates from Middlesex University in London with a first class degree.', None, None, 'The  4-feet model with dwarfism started a career in modelling in an attempt to promote body positivity for people with dwarfism and other physical conditions.', None, None, 'She wrote;', None, 'Over the last 4 years I’ve been studying for an accounting and finance degree. Can’t believe I graduate with a first class! Anything possible when you put your mind to it #mdxgrad19 #graduation #issagraduate', None, 'See more; ', 'http://gistmore.com/dwarf-model-fatimo-graduates-from-middlesex-university-with-first-class']"
15,nairavsdollars,7:16pm,Jul 09,27,"['Temidayo Akinsuyi, Lagos', None, None, 'Hon. Olawale Oshun, National Chairman of Afenifere Renewal Group and a former Chief Whip of the House of Representatives has revealed how during the struggle for the actualisation of June 12, Aremo Segun Osoba donated the sum of 5,000 Pounds to Maryam Abacha’s project but gave National Democratic Coalition (NADECO) a paltry 250 Pounds when they requested for his assistance to fund the activities of the organisation.', None, None, 'Oshun, who made the revelation in his book ‘ The Open Grave, NADECO And The Struggle For Democracy’ said Osoba gave the money to Chief John Oyegun, former governor of Edo State and immediate past National Chairman of the ruling All Progressives Congress (APC) who was sent by NADECO to meet Osoba for assistance .', None, None, 'He said NADECO chieftains were incensed by Osoba’s apparent disregard for them that they almost asked Oyegun to return his money back to him.', None, None, 'Details later…', None, 'https://www.independent.ng/osoba-donated-5000-pounds-to-abachas-wife-but-gave-nadeco-mere-250-pounds-oshun/']"
16,naptu2,8:33pm,Jul 09,28,"['FULL VIDEO : Sen. Abbo In Face-Off With Tinubu, Senate Adhoc Panel Over intimacy gadget Shop Assault', None, None, None, 'Senator Abbo appeared before the committee that was set up by the Senate to investigate his alleged assault on a woman at a toy shop. The committe is chaired by Senator Sam Egwu (who is a former governor and former minister).', None, None, 'However, a faceoff ensued when Senator Abbo told that committee to tell journalists to leave the room', None, None, ""Here's a transcript of what happened."", None, None, 'Senator Sam Egwu: ""We have finished listening to you talk to the whole word. We have listened to you, the whole world has heard you on television and everywhere. So what\'s the difference? You are just making a statement here. Even if it is one sentence, say what you have to say.""', None, None, 'Senator Abbo: ""I will not . . .""', None, None, None, 'Mrs Tinubu: ""Ok, you see, distinguished. Mr Chairman sir"" (Senator Egwu nods). ""Distinguish, we want to tell you. . . You are just joining us. We have a procedure and we are also under law. What we are doing, we are doing as a legislature. You don\'t come in here when we invite you, despite that you are our colleague, you are on the other side now. ', None, None, 'Everybody requires a fair hearing. What is going on with you affects us as a body. Alright? That is why the senate president constituted this committee and you can see the level and integrity of the people under here. ', None, None, 'You don\'t come in here and dictate to us the procedures that we are supposed to do"" (Senator Egwu says ""adopt"" ). ""Adopt. And that is, you don\'t dictate to us because you undermine us by even trying to do that. ', None, None, ""You haven't even listened to us. Even if we are going beyond what you expect, you can stop us, but you don't come on the other side and start dictating to us."", None, None, 'Do you want us to protect you or do you want us to defend you or you want to be on your own?""', None, None, 'Senator Abbo is trying to interrupt by saying, ""Distinguished. Distinguished ma"".', None, None, 'Senator Tinubu: ""Because do you realise that the Senate. . . Off that mic and let me finish. Do you realise that the Senate, when we constitute this, whatever the law gives, we can also suspend you? Do you realise that?""', None, None, 'Senator Egwu wants to interrupt, but Senator Tinubu says, ""No sir"".', None, None, '""You don\'t come here on camera. . .""', None, None, None, 'Senator Abbo interrupts: ""I will not sit here and you threaten me with suspension"".', None, None, 'Senator Tinubu says: ""We are not threatening you!""', None, None, 'Senator Tinubu says, ""With all due respect"" but Senator Abbo interrupts: ', None, None, None, '""With all due respect, you are my colleague, you are a senator like me and you cannot threaten me with suspension. I take exception ma""', None, None, None, 'Senator Tinubu is speaking in the background:', None, None, '""Off that mic. You are digging a hole for yourself. I\'m also another woman. Better be careful.""', None, ' ', None, 'Senator Egwu interrupts and addresses Senator Abbo: ', None, None, None, '""Excuse me. Distinguished, why are you behaving this way? This behaviour is not expected of you. There are about how many of us senators here and even if you take offence at what we say, listen and keep quiet. You have to address the chair. Please"".', None, None, None, 'Senator Abbo says: ""Mr chairman, is it out of place if I ask that I am not addressing camera, I am not addressing pressmen, after I have been taken to court? Correct me if I am wrong.""', None, None, 'Senator Egwu: ""If you have any objection to what we say, you\'ll at least hear our general comment on it.""', None, None, 'Another senator says: ""We take that decision on it, on what you\'ve just said. You wait"".', None, None, 'Senator Tinubu says: ""You didn\'t even wait for us to talk before saying that this is the method that you want us to adopt. You didn\'t even wait""', None, None, None, 'Another senator asks Senator Abbo to tell the committee why he came before the committe, so Senator Abbo explains how he was invited by the Senate and the police, etc. He then says that the matter is in court and he doesn\'t want to say his side of the story on camera and then the media will ""take it out"".', None, None, 'Senator Tinubu said that what he just said is what they expected him to say initially, rather than trying to dictate to the committee the modalities that it should use. She says that they have respectable people in the committee, including a former governor and they know what to do.', None, None, 'Another senator appeals that the hearing should be conducted in a close session. He says that the alleged victim did not appear because she believes that the matter is subjudice and so it will be better to have a closed session.', None, None, 'After a long discussion, Senator Egwu asks the media to leave.', None, None, None, None, ' ', None, None, 'https://www.youtube.com/watch?v=95_Et4dWPsM']"
17,Flashyoil1,7:05pm,Jul 09,29,"[""Nigerians are not buying the whole drama as Mrs. Tinubu becomes more important than the case at hand. Nigerians are of the opinion that the panel is partial since Mrs. Tinubu once slapped a male senator in the House, therefore shouldn't have made it to the panel since her own character is also in question. "", None, None, 'It  could also be said that Mrs. Tinubu brought it upon herself because, what she did was highly unprofessional and not of part the duty the panel asked to her to carryout ', None, None, 'Below are  some reactions gathered', None, None, None, 'See more more here ', 'https://thickmatch.com/intimacy-gadget-shop-nigerians-blast-senate-allowing-mrs-tinubu-make-panel/']"
18,RejoiceBoysBlog,7:05pm,Jul 09,27,"['Popular Nigerian OAP and Actor ""Nedu"", took to his official Instagram account to share his throwback pictures.', None, None, 'See more pictures ', None, None, 'https://rejoiceboysblog.wordpress.com/2019/07/09/nedu-wazobiafm-shares-hilarious-throwback-pictures/']"
19,Beremx,7:05pm,Jul 09,26,"['I had to read this email sent to my box severally to be sure of what I am reading. Just got the email some minutes ago. ', None, None, None, 'Has it gotten to this extent that Nigeria has to be Segregated?  This means that we from the South have no hope of the empowerment. ', None, None, 'Wonderful!!']"
20,MediaGuru36,7:08pm,"Speaker of the House of Representatives, Rt. Hon. Femi Gbajabiamila, on Tuesday visited one of the wounded officers in the National Assembly attack, Igbere TV reports.Igbere TV reports that members of the Islamic Shiite group, had on Tuesday, attacked some officers when they invaded the NASS complex in protest against the continued detention of their leader, El-Zazaky.  The wounded officer was identified as Inspector Ahmed Seini, who is currently admitted at the National Assembly Clinic, Abuja.Igbere TV reports that the speaker visited alongside other honourable members of the House.http://igberetvnews.com/826784/shiite-attack-gbajabiamila-visits-wounded-officer 1 Like    ",30,"['Speaker of the House of Representatives, Rt. Hon. Femi Gbajabiamila, on Tuesday visited one of the wounded officers in the National Assembly attack, Igbere TV reports.', None, None, 'Igbere TV reports that members of the Islamic Shiite group, had on Tuesday, attacked some officers when they invaded the NASS complex in protest against the continued detention of their leader, El-Zazaky.  ', None, None, 'The wounded officer was identified as Inspector Ahmed Seini, who is currently admitted at the National Assembly Clinic, Abuja.', None, None, 'Igbere TV reports that the speaker visited alongside other honourable members of the House.', None, None, 'http://igberetvnews.com/826784/shiite-attack-gbajabiamila-visits-wounded-officer']"
21,Ellawa,7:00pm,Jul 09,29,"['A bike rider, identified as Ahmed, has committed suicide by hanging inside his room at his house located on Shoretire St, #Agege, Lagos State.', None, '.', None, 'The incident happened this evening, shortly after he returned home from work. The father-of-three is said to be battling with debt. ', None, None, 'See more photos; ', 'https://www.iszzyblog.com/2019/07/bike-rider-commits-suicide-over-debt-in.html']"
22,GistMore,6:13pm,Jul 09,28,"['Former big brother naija housemates, Avala and Isilomo are beginning to mingle with top celebrities as they strikes a pose with comedian Ushbebe and Dat Warri Girl during their media to Naija FM in Lagos.', None, None, 'Avala and Isilomo are the first housemates to be evicted from BBNaija season 4.', None, None, 'See more here; ', 'http://gistmore.com/bbnaija-comedian-ushbebe-poses-with-avala-and-isilomo']"
23,obembet,6:07pm,Jul 09,29,"['Manchester United are reportedly pursuing Chelsea midfielder Tiemoue Bakayoko as Ole Gunnar Solskjaer looks to continue his summer rebuild at Old Trafford.', None, None, 'Solskjaer has already brought in two new faces - Daniel James and Aaron Wan-Bissaka - during the transfer window.', None, None, 'And now United are keen on Bakayoko, who was on loan at AC Milan last campaign, according to RMC Sport.', None, None, 'The Old Trafford club have reportedly expressed their interest in the 24-year-old to their Premier League rivals.', None, None, 'Bakayoko, who made the switch to Stamford Bridge from Monaco two years ago for £40million, has three years remaining on his contract at the Blues.', None, None, 'Source: ', 'https://m.allfootballapp.com/news?id=1551271&type=share&language=en']"
24,autojosh,5:46pm,Jul 09,30,"[None, None, None, 'One of the most anticipated cars in recent times, the all-new BMW 7 series, is now available in Nigeria.', None, None, 'This beauty-on-wheels is currently available for viewing at the offices of Coscharis Motors - the sole franchisee of BMW brands in Nigeria.', None, None, 'The new BMW 7 series comes with a more distinctive, luxurious and outstanding dynamics.', None, None, 'It stands out with its prestigious, elegant appearance, superlative comfort and exceptionally sporty performance, a combination that only the this 7 Series delivers in its class.', None, None, 'Visually, the new BMW 7 Series looks like a completely new model – especially at the front and back. In many respects, it has become even more luxurious, with numerous highly advanced components. This includes more powerful and fuel-efficient petrol engines, a new, pioneering infotainment system and the latest driver assistance systems.', None, None, None, None, None, 'According to Cletus Aregbeshola, Marketing Manager for BMW, Coscharis Motors; “around three-and-a-half years on from the introduction of the sixth generation in 2015, the BMW 7 Series Sedan has undergone a wide ranging and effective updates. These updates have positioned the flagship model as a trendsetter, introducing world-firsts that are being copied by other manufacturers.”', None, None, 'The sixth-generation BMW 7 Series Sedan also sets standards in terms of providing both maximum ride comfort and a sporting and dynamic driving experience. This is due to an advanced chassis design complete with a self-levelling two-axle air suspension included as standard. With its intelligent mix of aluminium, high-strength steel and a body structure benefiting from magnesium and carbon reinforcements (Carbon Core), it also has the lowest weight amongst its competitors.', None, None, None, None, None, 'Other competitors such as the Audi A8, Porsche Panamera and Lexus LS lag considerably behind the two top models from BMW and Mercedes-Benz, both in terms of sales volume and in being perceived as the world’s most prestigious volume-produced luxury sedans (Rolls-Royce, Bentley and Maybach excepted). All models but the M760Li and 745Le xDrive are available in a short- and a long-wheelbase version.', None, None, 'Coscharis Motors offer sales and service networks for the BMW brands across Nigeria.', None, None, 'Currently, her BMW sedan range includes 7, 6, 5, 4, 3 and 2 Series. The X Range includes X6, X5, X4 and X3.', None, None, 'At Coscharis, orders have already been placed for this latest and first ever BMW X7.', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'https://autojosh.com/coscharis-debuts-the-all-new-bmw-7-series-in-nigeria/']"
25,nairagossip1,5:31pm,Jul 09,28,"['The United Nations Development Programme (UNDP) and the Tony Elumelu Foundation (TEF) have launched a youth entrepreneurship programme for the Sahel region of Africa. The TEF-UNDP Sahel Youth Entrepreneurship programme will train, mentor and financially support 100,000 young entrepreneurs in Africa in 10 years . The goal is to contribute to the overall target to generate at least 10million new jobs and $10 billion in new annual revenues across Africa.', None, None, 'Eligibility Criteria', None, 'Must be an entrepreneur for the seven Sahel African countries: Northern Nigeria, Niger, Chad, Cameroun, Mauritania, Mali and Burkina Faso.', None, 'Your business must not be more than 3years in existence. Potential businesses at the idea stage are encouraged.', None, None, 'TEF-UNDP Sahel Youth Entrepreneurship Programme Benefits.', None, None, 'African entrepreneurs will gain non-refundable seed capital, access to a 12-week business training and mentoring. They will also receive visibility and numerous business networking opportunities.', None, 'Method of Application', None, None, 'Interested candidates who meet the criteria listed above should visit the nearest UBA branch in any of the listed countries or apply online ', None, None, ' ', None, 'Scholarship Application Deadline: August 5, 2019.', None, None, None, 'Source:', 'https://www.appliedscholarships.com/2019/07/tony-elumelu-foundation-sahel-youtth-entrepreneurship-africa-2019.html']"
